egoid,exercisealone_7,exerciseothers_7,clubsports_7,swimming_7
40569,,,,
26320,1-2 times a week,1-2 times a month,Not at all,Not at all
77532,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all
92515,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
97844,,,,
33127,,,,
45958,,,,
49790,1-2 times a month,1-2 times a month,Not at all,Not at all
74251,,,,
28326,,,,
20507,,,,
71592,,,,
15181,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
70209,,,,
78657,,,,
21887,,,,
48154,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
92953,,,,
90192,,,,
51495,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
34344,,,,
21793,,,,
37218,,,,
17932,1-2 times a week,1-2 times a week,Not at all,Not at all
95026,,,,
66800,,,,
73693,,,,
80429,,,,
75149,,,,
61659,,,,
81420,,,,
33740,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
67709,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
36552,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
14301,1-2 times a month,Not at all,Not at all,Not at all
63138,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all
51298,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
74632,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all
16654,,,,
54394,,,,
84768,,,,
29134,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
24029,1-2 times a week,1-2 times a month,1-2 times a month,Less than 1-2 times a month
35361,,,,
49086,1-2 times a month,Not at all,Not at all,Not at all
67917,,,,
85503,Not at all,Not at all,Less than 1-2 times a month,Not at all
60008,,,,
55881,,,,
22119,,,,
39285,,,,
22460,,,,
25172,,,,
77134,,,,
22143,,,,
93766,,,,
45097,,,,
26289,,,,
95490,1-2 times a week,Not at all,Not at all,Not at all
66979,,,,
23253,1-2 times a week,Not at all,Not at all,Not at all
90079,,,,
47584,1-2 times a week,1-2 times a week,Not at all,Not at all
97990,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
39248,,,,
29354,,,,
91429,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all
82269,,,,
22842,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
31311,,,,
33084,,,,
14279,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
91932,,,,
32404,,,,
73577,,,,
43177,Not at all,Not at all,Not at all,Not at all
36501,,,,
26857,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
28327,Less than 1-2 times a month,Not at all,Not at all,Not at all
42674,,,,
79897,1-2 times a month,1-2 times a month,Not at all,Not at all
64978,,,,
52302,Not at all,1-2 times a week,1-2 times a week,Not at all
97050,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
46418,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
86691,,,,
93002,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
56543,,,,
92618,,,,
17470,,,,
74211,,,,
35180,,,,
89142,Not at all,Three times a week or more,Not at all,Three times a week or more
24898,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
74413,,,,
38824,,,,
51723,Three times a week or more,1-2 times a month,Not at all,Not at all
79352,1-2 times a week,1-2 times a week,Not at all,Not at all
30814,,,,
90502,,,,
94456,,,,
70661,,,,
50976,,,,
55533,,,,
12156,,,,
76485,1-2 times a week,Three times a week or more,1-2 times a week,Not at all
33239,Not at all,Not at all,1-2 times a month,Not at all
72570,,,,
67574,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month
42231,,,,
84960,,,,
31033,,,,
10469,,,,
77789,1-2 times a month,Not at all,Not at all,Not at all
47024,1-2 times a week,Three times a week or more,Not at all,Not at all
88582,,,,
83470,,,,
67015,Three times a week or more,Not at all,Not at all,Not at all
26272,,,,
21909,,,,
88882,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
31985,,,,
91337,,,,
87664,,,,
19245,,,,
83748,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
49915,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
51865,1-2 times a week,Not at all,Not at all,Not at all
78407,,,,
93787,1-2 times a week,1-2 times a month,Not at all,Not at all
52621,,,,
38914,,,,
19833,,,,
40864,,,,
18707,,,,
26718,,,,
63347,1-2 times a week,Not at all,Not at all,Not at all
35824,1-2 times a week,Not at all,Not at all,Not at all
48826,,,,
93246,,,,
75341,,,,
35925,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month
