egoid,SelfEsteem_1_4,SelfEsteem_2_4,SelfEsteem_3_4,SelfEsteem_4_4,SelfEsteem_5_4,SelfEsteem_6_4,SelfEsteem_7_4,SelfEsteem_8_4,SelfEsteem_9_4,SelfEsteem_10_4,SelfEsteem_4,SelfReg_1_4,SelfReg_3_4,SelfReg_4_4,SelfReg_5_4,SelfReg_6_4,SelfReg_7_4,SelfReg_8_4,SelfReg_9_4,SelfReg_10_4,SelfReg_11_4,SelfReg_12_4,SelfReg_13_4,selfreg_scale_4,Trust_1_4,Trust_2_4,Trust_3_4,Trust_4_4,Trust_5_4,Trust_6_4,Trust_4
18707,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
73807,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
26718,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
63347,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,40.0,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,2.1666667,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.5
35824,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
48826,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,40.0,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,3.3333333,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,3.8333333
11454,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
93246,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
75341,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
35925,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,30.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,3.0,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,2.5
