egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
43125,402.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
98117,503.0,128.0,Ph.D or Ed.D.,yes
22989,109.0,131.0,"Bachelor's degree (B.A., B.S., etc.)",no
24883,502.0,115.0,"M.D., D.O., D.D.S., or D.V.M.",no
20650,128.0,128.0,J.D. (Law),no
19460,401.0,128.0,,
66815,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
89161,401.0,128.0,,
54956,131.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
14847,405.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
85453,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
19827,401.0,128.0,,
31121,401.0,128.0,,
38683,401.0,128.0,,
82918,401.0,128.0,,
43382,401.0,128.0,,
44344,128.0,128.0,J.D. (Law),no
94215,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
80675,401.0,128.0,,
57144,511.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
94662,501.0,128.0,Ph.D or Ed.D.,no
98700,511.0,128.0,Ph.D or Ed.D.,no
33341,401.0,128.0,,
65072,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
37148,401.0,128.0,,
11910,401.0,128.0,,
75438,401.0,128.0,,
99733,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
27407,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
14250,401.0,128.0,,
43794,309.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
73918,401.0,128.0,,
60216,401.0,128.0,,
28681,401.0,128.0,,
51437,503.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",no
21932,302.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
29733,109.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
98206,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
36385,116.0,506.0,"Bachelor's degree (B.A., B.S., etc.)",no
54030,404.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
67993,131.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
96543,401.0,128.0,,
49800,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
29296,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
11002,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
72850,307.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
15134,309.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
69124,401.0,128.0,,
34062,507.0,128.0,Ph.D or Ed.D.,no
18111,401.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
42646,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
63922,401.0,128.0,,
59097,401.0,128.0,,
72912,406.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
91484,401.0,128.0,,
24833,401.0,128.0,,
21971,511.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
13928,401.0,128.0,,
84502,128.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
64090,401.0,128.0,,
52123,402.0,102.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
78783,401.0,128.0,,
25197,501.0,128.0,Ph.D or Ed.D.,no
35872,510.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
23270,512.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
69807,109.0,501.0,Ph.D or Ed.D.,no
92716,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
66061,401.0,128.0,,
56058,401.0,128.0,,
57854,401.0,128.0,,
68679,511.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
90750,401.0,128.0,,
70125,401.0,128.0,,
67192,134.0,128.0,Ph.D or Ed.D.,yes
12029,401.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
70745,117.0,128.0,J.D. (Law),no
93856,309.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
10237,111.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
97448,134.0,135.0,J.D. (Law),yes
89165,401.0,128.0,,
97280,403.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
54098,304.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
66156,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
67177,401.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
22540,401.0,128.0,,
15586,401.0,128.0,,
18611,507.0,125.0,J.D. (Law),yes
87328,109.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no
88963,401.0,128.0,,
57045,401.0,128.0,,
49497,108.0,406.0,"Bachelor's degree (B.A., B.S., etc.)",no
15031,401.0,128.0,,
79607,401.0,128.0,,
41952,401.0,128.0,,
17183,406.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
22408,511.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",yes
54435,130.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
38554,401.0,128.0,,
38293,305.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
33785,304.0,123.0,Ph.D or Ed.D.,no
44310,405.0,137.0,"Bachelor's degree (B.A., B.S., etc.)",no
33009,130.0,128.0,J.D. (Law),no
31294,401.0,128.0,,
65143,401.0,128.0,,
91726,401.0,128.0,,
59355,401.0,128.0,,
96184,401.0,128.0,,
92339,116.0,114.0,"Bachelor's degree (B.A., B.S., etc.)",no
70005,401.0,128.0,,
64157,102.0,110.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
68050,401.0,128.0,,
46151,401.0,128.0,,
79395,401.0,128.0,,
59863,401.0,128.0,,
63419,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
22913,303.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
91313,401.0,128.0,,
14511,401.0,128.0,,
73962,305.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
48969,116.0,110.0,"Bachelor's degree (B.A., B.S., etc.)",no
22093,401.0,128.0,,
32919,401.0,128.0,,
79731,401.0,128.0,,
64296,506.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
23487,401.0,128.0,,
17569,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
77036,303.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
53518,405.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
92340,401.0,128.0,,
37485,401.0,128.0,,
33953,401.0,128.0,,
53333,401.0,128.0,,
82986,502.0,137.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
61772,401.0,128.0,,
47280,401.0,128.0,,
70566,401.0,128.0,,
82964,401.0,128.0,,
11402,131.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
38610,501.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
96610,131.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
77711,401.0,109.0,Ph.D or Ed.D.,no
78667,401.0,128.0,,
17020,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
48676,507.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
29885,109.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
79167,128.0,116.0,J.D. (Law),no
65061,401.0,128.0,,
43710,401.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
22455,128.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
82819,401.0,128.0,,
67771,401.0,128.0,,
57443,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
96469,128.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
94579,512.0,128.0,Ph.D or Ed.D.,no
29257,508.0,403.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
23518,137.0,506.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
80484,401.0,128.0,,
49539,134.0,128.0,Ph.D or Ed.D.,no
63904,504.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no
82490,401.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
20335,305.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
35031,406.0,108.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
88185,401.0,128.0,,
35344,302.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
31175,401.0,128.0,,
41167,401.0,128.0,,
98325,401.0,128.0,,
36963,401.0,128.0,,
50666,137.0,140.0,"Master's Degree (M.A., M.S., MBA, etc.)",
98624,401.0,128.0,,
42617,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
58793,401.0,128.0,,
25125,131.0,128.0,Ph.D or Ed.D.,no
25548,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
25966,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
96689,137.0,135.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
43581,507.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no
75578,401.0,128.0,,
43507,401.0,128.0,,
91551,401.0,128.0,,
19030,401.0,128.0,,
33657,117.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
76521,401.0,128.0,,
52848,401.0,128.0,,
40231,401.0,128.0,,
65656,304.0,128.0,Ph.D or Ed.D.,yes
36117,506.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
82587,405.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
14690,401.0,128.0,,
40569,401.0,128.0,,
26320,406.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
77532,110.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
92515,501.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
97844,301.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
33127,401.0,128.0,,
45958,401.0,128.0,,
49790,401.0,128.0,,
74251,401.0,128.0,,
28326,401.0,128.0,,
20507,401.0,128.0,,
71592,401.0,128.0,,
15181,502.0,128.0,Ph.D or Ed.D.,no
70209,401.0,128.0,,
78657,401.0,128.0,,
21887,401.0,128.0,,
48154,507.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
92953,401.0,128.0,,
90192,401.0,128.0,,
51495,309.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
34344,401.0,128.0,,
21793,401.0,128.0,,
37218,401.0,128.0,,
17932,125.0,128.0,J.D. (Law),no
95026,509.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",yes
66800,401.0,128.0,,
73693,401.0,128.0,,
80429,403.0,501.0,"Bachelor's degree (B.A., B.S., etc.)",no
75149,130.0,406.0,"Bachelor's degree (B.A., B.S., etc.)",no
61659,401.0,128.0,,
81420,401.0,128.0,,
33740,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
67709,111.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
36552,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
14301,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
63138,502.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
51298,304.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
74632,502.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
16654,401.0,128.0,,
54394,401.0,128.0,,
84768,401.0,128.0,,
29134,511.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
24029,506.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
35361,401.0,128.0,,
49086,406.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
67917,401.0,128.0,,
85503,301.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
60008,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
55881,401.0,128.0,,
22119,401.0,128.0,,
39285,401.0,128.0,,
22460,401.0,128.0,,
25172,406.0,108.0,"Bachelor's degree (B.A., B.S., etc.)",no
77134,130.0,128.0,J.D. (Law),yes
22143,401.0,128.0,,
93766,401.0,128.0,,
45097,401.0,128.0,,
26289,401.0,128.0,,
95490,309.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
66979,401.0,128.0,,
23253,507.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
90079,304.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
47584,510.0,125.0,"M.D., D.O., D.D.S., or D.V.M.",no
97990,402.0,506.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
39248,401.0,128.0,,
29354,401.0,128.0,,
91429,511.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",yes
82269,117.0,128.0,Ph.D or Ed.D.,no
22842,306.0,128.0,Ph.D or Ed.D.,no
31311,401.0,128.0,,
33084,401.0,128.0,,
14279,401.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
91932,401.0,128.0,,
32404,401.0,128.0,,
73577,401.0,128.0,,
43177,401.0,128.0,,
36501,401.0,128.0,,
