egoid,exercisealone_4,clubsports_4,exerciseothers_4,swimming_4
35872,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
23270,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a week
69807,,,,
92716,Three times a week or more,1-2 times a week,Three times a week or more,Not at all
66061,,,,
56058,,,,
57854,,,,
68679,,,,
90750,,,,
70125,Three times a week or more,Less than 1-2 times a month,1-2 times a week,Not at all
67192,1-2 times a week,Not at all,1-2 times a week,Not at all
12029,1-2 times a month,Not at all,1-2 times a month,Not at all
70745,1-2 times a month,1-2 times a week,Not at all,Not at all
93856,1-2 times a month,1-2 times a week,Not at all,Not at all
10237,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all
97448,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
89165,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
97280,1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a week
54098,,,,
66156,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
67177,Not at all,Not at all,Not at all,Not at all
22540,Not at all,Not at all,Not at all,Not at all
15586,,,,
18611,,,,
87328,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
88963,,,,
57045,,,,
49497,Three times a week or more,1-2 times a week,Not at all,Not at all
15031,,,,
79607,,,,
41952,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month
17183,1-2 times a month,Not at all,Not at all,Not at all
22408,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
54435,Three times a week or more,Not at all,Not at all,Not at all
38554,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
38293,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
33785,Three times a week or more,Not at all,1-2 times a month,Not at all
44310,,,,
33009,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month
31294,,,,
65143,,,,
91726,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
59355,Three times a week or more,Not at all,Not at all,1-2 times a month
