egoid,sexorientation_6,sexcontacttype_6,sexattracttype_6
51865,Heterosexual or straight,Men only,Mostly attracted to males
78407,,,
93787,Heterosexual or straight,I have not had sexual contact,Only attracted to males
52621,,,
38914,,,
19833,,,
40864,Heterosexual or straight,I have not had sexual contact,Not sure
18707,,,
26718,Heterosexual or straight,Women only,Only attracted to females
63347,Gay or lesbian,I have not had sexual contact,Only attracted to males
35824,Bisexual,Both men and women,Mostly attracted to males
48826,Heterosexual or straight,Women only,Only attracted to females
93246,,,
75341,,,
35925,Heterosexual or straight,Women only,Only attracted to females
