egoid,SelfEsteem_1_8,SelfEsteem_2_8,SelfEsteem_3_8,SelfEsteem_4_8,SelfEsteem_5_8,SelfEsteem_6_8,SelfEsteem_7_8,SelfEsteem_8_8,SelfEsteem_9_8,SelfEsteem_10_8,SelfEsteem_8,lonely_1_8,lonely_2_8,lonely_3_8,lonely_4_8,lonely_5_8,lonely_6_8,lonely_7_8,lonely_8_8,lonely_9_8,lonely_10_8,lonely_11_8,lonely_12_8,lonely_13_8,lonely_14_8,lonely_15_8,selsa_rom_8,selsa_fam_8,selsa_soc_8,Trust_1_8,Trust_2_8,Trust_3_8,Trust_4_8,Trust_5_8,Trust_6_8,Trust_8,SelfReg_1_8,SelfReg_3_8,SelfReg_4_8,SelfReg_5_8,SelfReg_6_8,SelfReg_7_8,SelfReg_8_8,SelfReg_9_8,SelfReg_10_8,SelfReg_11_8,SelfReg_12_8,SelfReg_13_8,selfreg_scale_8
45076,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,38.0,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,0.91731757,-0.62102139,0.1024816,Agree,Disagree,Disagree,Agree,Disagree,Agree,4.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.0
58437,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
94862,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
14606,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
64075,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
39787,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
82376,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
44872,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,38.0,Somewhat Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,0.21105237,-0.36058217,-0.13460493,Agree,Disagree,Neither Agree or Disagree,Agree,Disagree,Agree,3.8333333,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,2.3333333
87783,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
22199,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,0.21105237,-0.36058217,-0.13460493,,,,,,,3.3333333,,,,,,,,,,,,,2.25
