egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
25197,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Frequently,Never
35872,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Always,Frequently
93462,,,,,,,,
23270,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Always
69807,,,,,,,,
92716,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Occasionally
66061,,,,,,,,
56058,,,,,,,,
57854,,,,,,,,
68679,Three times a week or more,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,Three times a week or more,Always,Never
90750,,,,,,,,
70125,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Frequently,Always
67192,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Never
