egoid,exercisealone_8,exerciseothers_8,clubsports_8,swimming_8
24883,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
20650,1-2 times a month,Not at all,Not at all,Not at all
19460,Three times a week or more,1-2 times a month,Not at all,Not at all
66815,1-2 times a week,Three times a week or more,1-2 times a week,Not at all
89161,Three times a week or more,1-2 times a month,Not at all,Not at all
54956,Three times a week or more,1-2 times a month,Not at all,Not at all
14847,1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
85453,Three times a week or more,1-2 times a month,Not at all,Not at all
19827,Three times a week or more,1-2 times a month,Not at all,Not at all
31121,Three times a week or more,1-2 times a month,Not at all,Not at all
38683,Three times a week or more,1-2 times a month,Not at all,Not at all
82918,Three times a week or more,1-2 times a month,Not at all,Not at all
43382,Three times a week or more,1-2 times a month,Not at all,Not at all
44344,Three times a week or more,1-2 times a month,Not at all,Not at all
94215,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
80675,Three times a week or more,1-2 times a month,Not at all,Not at all
57144,Three times a week or more,1-2 times a month,Not at all,Not at all
94662,Three times a week or more,1-2 times a month,Not at all,Not at all
98700,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
33341,Three times a week or more,1-2 times a month,Not at all,Not at all
65072,Three times a week or more,1-2 times a month,Not at all,Not at all
37148,Three times a week or more,1-2 times a month,Not at all,Not at all
11910,Three times a week or more,1-2 times a month,Not at all,Not at all
75438,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
99733,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
27407,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
14250,Three times a week or more,1-2 times a month,Not at all,Not at all
43794,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all
73918,Three times a week or more,1-2 times a week,Not at all,Not at all
60216,Three times a week or more,1-2 times a month,Not at all,Not at all
28681,Three times a week or more,1-2 times a month,Not at all,Not at all
51437,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
21932,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
29733,Three times a week or more,1-2 times a month,Not at all,Not at all
98206,Three times a week or more,1-2 times a month,Not at all,Not at all
36385,Three times a week or more,1-2 times a month,Not at all,Not at all
54030,Three times a week or more,1-2 times a month,Not at all,Not at all
67993,Three times a week or more,1-2 times a month,Not at all,Not at all
96543,Three times a week or more,1-2 times a month,Not at all,Not at all
49800,Less than 1-2 times a month,Not at all,Not at all,Not at all
29296,Three times a week or more,1-2 times a month,Not at all,Not at all
11002,Three times a week or more,1-2 times a month,Not at all,Not at all
72850,Three times a week or more,1-2 times a month,Not at all,Not at all
15134,Three times a week or more,1-2 times a month,Not at all,Not at all
69124,Three times a week or more,1-2 times a month,Not at all,Not at all
34062,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
18111,Three times a week or more,1-2 times a month,Not at all,Not at all
42646,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
63922,Three times a week or more,1-2 times a month,Not at all,Not at all
59097,Three times a week or more,1-2 times a month,Not at all,Not at all
72912,Three times a week or more,1-2 times a month,Not at all,Not at all
91484,Three times a week or more,1-2 times a month,Not at all,Not at all
24833,Three times a week or more,1-2 times a month,Not at all,Not at all
21971,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
13928,Three times a week or more,1-2 times a month,Not at all,Not at all
84502,Less than 1-2 times a month,Three times a week or more,1-2 times a month,Not at all
64090,Three times a week or more,1-2 times a month,Not at all,Not at all
52123,Three times a week or more,1-2 times a month,Not at all,Not at all
78783,Three times a week or more,1-2 times a month,Not at all,Not at all
25197,Three times a week or more,1-2 times a month,Not at all,Not at all
35872,Three times a week or more,1-2 times a month,Not at all,Not at all
23270,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week
69807,Three times a week or more,1-2 times a month,Not at all,Not at all
92716,Three times a week or more,1-2 times a month,Not at all,Not at all
66061,Three times a week or more,1-2 times a month,Not at all,Not at all
56058,Three times a week or more,1-2 times a month,Not at all,Not at all
57854,Three times a week or more,1-2 times a month,Not at all,Not at all
68679,Three times a week or more,1-2 times a month,Not at all,Not at all
90750,Three times a week or more,1-2 times a month,Not at all,Not at all
70125,Three times a week or more,1-2 times a month,Not at all,Not at all
67192,Three times a week or more,1-2 times a month,Not at all,Not at all
12029,Three times a week or more,1-2 times a month,Not at all,Not at all
70745,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
93856,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
10237,1-2 times a month,Three times a week or more,Not at all,Not at all
97448,Three times a week or more,1-2 times a month,Not at all,Not at all
89165,Three times a week or more,1-2 times a month,Not at all,Not at all
97280,Three times a week or more,1-2 times a month,Not at all,Not at all
54098,Three times a week or more,1-2 times a month,Not at all,Not at all
66156,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
67177,Three times a week or more,1-2 times a month,Not at all,Not at all
22540,Three times a week or more,1-2 times a month,Not at all,Not at all
15586,Three times a week or more,1-2 times a month,Not at all,Not at all
18611,Three times a week or more,1-2 times a month,Not at all,Not at all
87328,1-2 times a week,Not at all,Not at all,Not at all
88963,Three times a week or more,1-2 times a month,Not at all,Not at all
57045,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
49497,Three times a week or more,1-2 times a month,Not at all,Not at all
15031,Three times a week or more,1-2 times a month,Not at all,Not at all
79607,Three times a week or more,1-2 times a month,Not at all,Not at all
41952,Three times a week or more,1-2 times a month,Not at all,Not at all
17183,1-2 times a month,1-2 times a month,Not at all,Not at all
22408,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
54435,Three times a week or more,1-2 times a month,Not at all,Not at all
38554,Three times a week or more,1-2 times a month,Not at all,Not at all
38293,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
33785,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
44310,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
33009,Three times a week or more,1-2 times a month,Not at all,Not at all
31294,Three times a week or more,1-2 times a week,Not at all,Not at all
65143,Three times a week or more,1-2 times a month,Not at all,Not at all
91726,Three times a week or more,1-2 times a month,Not at all,Not at all
59355,Three times a week or more,1-2 times a month,Not at all,Not at all
96184,Three times a week or more,1-2 times a month,Not at all,Not at all
92339,Three times a week or more,1-2 times a month,Not at all,Not at all
70005,Three times a week or more,1-2 times a month,Not at all,Not at all
64157,Three times a week or more,1-2 times a month,Not at all,Not at all
68050,Three times a week or more,1-2 times a month,Not at all,Not at all
46151,Three times a week or more,1-2 times a month,Not at all,Not at all
79395,Three times a week or more,1-2 times a month,Not at all,Not at all
59863,Three times a week or more,1-2 times a month,Not at all,Not at all
63419,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
22913,Three times a week or more,1-2 times a month,Not at all,Not at all
91313,Three times a week or more,1-2 times a month,Not at all,Not at all
14511,Three times a week or more,1-2 times a month,Not at all,Not at all
73962,Three times a week or more,1-2 times a month,Not at all,Not at all
48969,Three times a week or more,Not at all,Not at all,Not at all
22093,Three times a week or more,1-2 times a month,Not at all,Not at all
32919,Three times a week or more,1-2 times a month,Not at all,Not at all
79731,Three times a week or more,1-2 times a month,Not at all,Not at all
64296,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
23487,Three times a week or more,1-2 times a month,Not at all,Not at all
17569,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all
77036,1-2 times a week,Not at all,1-2 times a week,Not at all
53518,Three times a week or more,1-2 times a month,Not at all,Not at all
92340,Three times a week or more,1-2 times a month,Not at all,Not at all
37485,Three times a week or more,1-2 times a month,Not at all,Not at all
33953,Three times a week or more,1-2 times a month,Not at all,Not at all
53333,Three times a week or more,1-2 times a month,Not at all,Not at all
82986,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
61772,Three times a week or more,1-2 times a month,Not at all,Not at all
47280,Three times a week or more,1-2 times a month,Not at all,Not at all
70566,Three times a week or more,1-2 times a month,Not at all,Not at all
82964,Three times a week or more,1-2 times a month,Not at all,Not at all
11402,Three times a week or more,1-2 times a month,Not at all,Not at all
38610,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
96610,Three times a week or more,Three times a week or more,Not at all,Not at all
77711,Three times a week or more,Not at all,1-2 times a week,Not at all
78667,Three times a week or more,1-2 times a month,Not at all,Not at all
17020,Three times a week or more,1-2 times a month,Not at all,Not at all
48676,1-2 times a week,1-2 times a month,Not at all,Not at all
29885,Three times a week or more,1-2 times a month,Not at all,Not at all
79167,Three times a week or more,Three times a week or more,1-2 times a month,1-2 times a month
65061,Three times a week or more,1-2 times a month,Not at all,Not at all
43710,1-2 times a week,Three times a week or more,Not at all,Three times a week or more
22455,Three times a week or more,Not at all,Not at all,Not at all
82819,Three times a week or more,1-2 times a month,Not at all,Not at all
67771,Three times a week or more,1-2 times a month,Not at all,Not at all
57443,1-2 times a week,1-2 times a month,Not at all,Not at all
96469,Three times a week or more,Not at all,Not at all,Not at all
94579,Three times a week or more,1-2 times a week,Not at all,Not at all
29257,1-2 times a week,1-2 times a month,Not at all,Not at all
23518,Three times a week or more,1-2 times a month,Not at all,Not at all
80484,Three times a week or more,1-2 times a month,Not at all,Not at all
49539,Three times a week or more,1-2 times a month,Not at all,Not at all
63904,1-2 times a week,1-2 times a week,Not at all,Not at all
82490,Three times a week or more,1-2 times a month,Not at all,Not at all
20335,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
35031,Three times a week or more,1-2 times a month,Not at all,Not at all
88185,1-2 times a week,1-2 times a month,Not at all,Not at all
35344,Three times a week or more,1-2 times a month,Not at all,Not at all
31175,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
41167,Three times a week or more,1-2 times a month,Not at all,Not at all
98325,Three times a week or more,1-2 times a month,Not at all,Not at all
36963,Three times a week or more,1-2 times a month,Not at all,Not at all
50666,1-2 times a week,1-2 times a week,Not at all,Not at all
98624,Three times a week or more,1-2 times a month,Not at all,Not at all
42617,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
58793,Three times a week or more,1-2 times a month,Not at all,Not at all
25125,Three times a week or more,1-2 times a month,Not at all,Not at all
25548,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
25966,Three times a week or more,1-2 times a month,Not at all,Not at all
