egoid,Trust_1_6,Trust_2_6,Trust_3_6,Trust_4_6,Trust_5_6,Trust_6_6,Trust_6,SelfEsteem_1_6,SelfEsteem_2_6,SelfEsteem_3_6,SelfEsteem_4_6,SelfEsteem_5_6,SelfEsteem_6_6,SelfEsteem_7_6,SelfEsteem_8_6,SelfEsteem_9_6,SelfEsteem_10_6,SelfEsteem_6,SelfReg_Exercise_1_6,SelfReg_Exercise_2_6,SelfReg_Exercise_3_6,SelfReg_Exercise_4_6,SelfReg_Exercise_5_6,SelfReg_Exercise_6_6,SelfReg_Exercise_7_6,SelfReg_Exercise_8_6,SelfReg_Exercise_9_6,SelfReg_Exercise_10_6,SelfReg_Exercise_11_6,SelfReg_Exercise_12_6,SelfReg_Exercise_13_6,SelfReg_Exercise_14_6,SelfReg_Exercise_15_6,SelfReg_Exercise_16_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,SRQE_RAI_6,lonely_1_6,lonely_2_6,lonely_3_6,lonely_4_6,lonely_5_6,lonely_6_6,lonely_7_6,lonely_8_6,lonely_9_6,lonely_10_6,lonely_11_6,lonely_12_6,lonely_13_6,lonely_14_6,lonely_15_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,SelfReg_1_6,SelfReg_3_6,SelfReg_4_6,SelfReg_5_6,SelfReg_6_6,SelfReg_7_6,SelfReg_8_6,SelfReg_9_6,SelfReg_10_6,SelfReg_11_6,SelfReg_12_6,SelfReg_13_6,selfreg_scale_6
70552,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
38826,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,2.6666667,Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,39.0,6,2,5,2,5,2,2,2,5,5,2,3,3,3,3,3,2.25,3.25,4.0,3.75,3.75,,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,2.0833333
93504,Agree,Agree,Agree,Agree,Agree,Agree,3.0,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,39.0,Very true,Not at all true,Very true,Somewhat true,6,Not at all true,Not at all true,6,6,6,Not at all true,6,6,Not at all true,6,6,1.0,4.5,6.0,6.25,12.0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,-1.1715218,0.13997658,0.24844754,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,2.3333333
64232,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,39.0,5,2,5,2,6,Not at all true,Not at all true,5,Very true,5,Not at all true,5,Somewhat true,Not at all true,Somewhat true,Very true,1.25,3.0,6.25,4.75,10.25,Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,0.34664285,-0.7134099,0.46492961,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.1666667
37404,Disagree,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,3.1666667,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,40.0,5,Not at all true,5,5,5,Not at all true,Not at all true,Somewhat true,5,Somewhat true,Not at all true,5,5,Not at all true,5,5,1.0,4.0,5.0,4.5,8.0,Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,-1.3347182,-0.4438808,2.4859912,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,2.1666667
25961,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
87330,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
92028,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
82248,Agree,Agree,Agree,Disagree,Agree,Agree,2.6666667,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,40.0,2,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,5,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Somewhat true,1.0,1.25,1.75,2.0,2.5,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,0.71510643,-0.52570856,-0.79775876,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,2.25
28824,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
