egoid,sexorientation_8,sexcontacttype_8,sexattracttype_8
96469,Heterosexual or straight,I have not had sexual contact,Only attracted to males
94579,Heterosexual or straight,Men only,Not sure
29257,Heterosexual or straight,Women only,Only attracted to females
23518,,,
80484,,,
49539,,,
63904,Heterosexual or straight,I have not had sexual contact,Only attracted to males
82490,,,
20335,Heterosexual or straight,Women only,Only attracted to females
35031,,,
88185,Heterosexual or straight,I have not had sexual contact,Only attracted to males
35344,Heterosexual or straight,Men only,Only attracted to males
31175,Heterosexual or straight,Men only,Only attracted to males
41167,,,
98325,,,
36963,,,
50666,Heterosexual or straight,I have not had sexual contact,Only attracted to males
98624,,,
42617,Heterosexual or straight,Men only,Only attracted to males
58793,,,
25125,,,
25548,Gay or lesbian,Both men and women,Only attracted to males
25966,,,
95444,,,
96689,,,
22587,,,
43581,,,
75578,,,
43507,,,
91551,Heterosexual or straight,Women only,Only attracted to females
30676,,,
19030,,,
33657,Gay or lesbian,Both men and women,Only attracted to females
76521,,,
52848,,,
40231,,,
65656,Heterosexual or straight,Women only,Only attracted to females
30610,,,
36117,Heterosexual or straight,Women only,Only attracted to females
82587,Heterosexual or straight,Men only,Mostly attracted to males
14690,,,
40569,,,
97021,,,
26320,Heterosexual or straight,Men only,Only attracted to males
77532,Heterosexual or straight,I have not had sexual contact,Only attracted to males
92515,Heterosexual or straight,Women only,Mostly attracted to females
97844,Heterosexual or straight,Women only,Only attracted to females
81647,Heterosexual or straight,Men only,Only attracted to males
33127,,,
45958,,,
49790,Heterosexual or straight,Men only,Only attracted to males
74251,,,
28326,,,
20507,,,
71592,,,
15181,Heterosexual or straight,Women only,Only attracted to females
70209,,,
78657,Heterosexual or straight,Women only,Only attracted to females
21887,,,
48154,Heterosexual or straight,Men only,Mostly attracted to males
92953,,,
90192,,,
51495,Heterosexual or straight,Women only,Only attracted to females
34344,,,
21793,,,
37218,,,
17932,Heterosexual or straight,Women only,Only attracted to females
95026,,,
66800,,,
73693,,,
80429,Heterosexual or straight,Women only,Only attracted to females
75149,Heterosexual or straight,Men only,Mostly attracted to males
61659,,,
81420,,,
33740,Heterosexual or straight,Men only,Mostly attracted to males
37979,,,
87192,,,
67709,Gay or lesbian,Men only,Mostly attracted to males
36552,Heterosexual or straight,Men only,Only attracted to males
14301,Heterosexual or straight,Men only,Only attracted to males
36384,,,
63138,Heterosexual or straight,Men only,Only attracted to males
51298,Heterosexual or straight,Women only,Only attracted to females
74632,Heterosexual or straight,Men only,Only attracted to males
16654,,,
54394,,,
84768,,,
29134,,,
24029,,,
35361,,,
87056,,,
49086,Heterosexual or straight,Men only,Only attracted to males
67917,,,
85503,Heterosexual or straight,Women only,Only attracted to females
60008,,,
66542,,,
55881,,,
86265,,,
10732,,,
22119,,,
50797,,,
39564,,,
39285,,,
22460,,,
25172,,,
77134,,,
22143,,,
93766,,,
45097,,,
26289,,,
95490,,,
66979,,,
23253,Heterosexual or straight,Men only,Only attracted to males
12900,,,
90079,,,
47584,Heterosexual or straight,Women only,Only attracted to females
97990,,,
39248,,,
29354,,,
25743,,,
91429,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
82269,,,
22842,Heterosexual or straight,Women only,Mostly attracted to females
31311,,,
32423,,,
33084,,,
14279,Heterosexual or straight,Men only,Only attracted to males
91932,,,
32404,,,
73577,,,
70561,,,
43177,,,
36501,,,
26857,Heterosexual or straight,Women only,Only attracted to females
28327,Bisexual,Men only,Equally attracted to females and males
42674,,,
79897,,,
64978,,,
70434,,,
52302,Heterosexual or straight,Women only,Only attracted to females
97050,,,
46418,,,
86691,,,
93002,Heterosexual or straight,Men only,Only attracted to males
81930,,,
56543,,,
92618,,,
17470,,,
74211,,,
35180,,,
89142,,,
24898,,,
74413,,,
38824,,,
51723,Other,Both men and women,Mostly attracted to males
79352,Heterosexual or straight,I have not had sexual contact,Only attracted to males
30814,,,
90502,,,
94456,,,
70661,,,
50976,,,
55533,,,
12156,,,
76485,Heterosexual or straight,Women only,Only attracted to females
33239,Heterosexual or straight,Women only,Only attracted to females
72570,,,
67574,Heterosexual or straight,Women only,Only attracted to females
42231,,,
44639,,,
64072,,,
84960,,,
43809,,,
27941,,,
31033,,,
39301,,,
10469,,,
77789,,,
47024,,,
88582,,,
73897,,,
83470,,,
67015,,,
26272,,,
21909,,,
88882,Heterosexual or straight,Women only,Only attracted to females
62510,,,
96828,,,
64406,,,
31985,,,
91337,,,
87664,,,
19245,,,
83748,,,
49915,Heterosexual or straight,Women only,Only attracted to females
51865,,,
78407,,,
93787,Heterosexual or straight,I have not had sexual contact,Only attracted to males
52621,,,
38914,,,
37594,,,
19833,,,
17270,,,
40864,,,
38313,,,
55340,,,
18707,,,
73807,,,
26718,,,
63347,Gay or lesbian,I have not had sexual contact,Only attracted to males
35824,Bisexual,Both men and women,Mostly attracted to males
48826,,,
11454,,,
93246,,,
75341,,,
35925,,,
