egoid,SelfEsteem_3,SRQE_Ext_3,SRQE_Introj_3,SRQE_Ident_3,SRQE_Intrin_3,selsa_rom_3,selsa_fam_3,selsa_soc_3,selfreg_scale_3
39129,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
57359,34.0,2.5,4.5,5.5,5.25,-0.15113248,0.72427791,-0.86304891,2.8333333
17308,39.0,1.0,3.0,5.0,4.5,0.62242401,0.11190705,-1.0943056,2.5
51851,49.0,1.0,1.25,5.75,6.5,0.21917389,-1.2073368,1.9102386,1.75
67334,29.0,1.75,2.5,3.25,3.5,0.99648023,0.99179989,1.0768946,3.4166667
77838,47.0,2.25,2.5,5.25,4.75,-0.1180497,-0.58209181,-0.85186428,2.0833333
56798,50.0,1.0,2.5,6.25,6.0,-0.348656,-0.63512856,-0.69132286,1.75
77872,39.0,1.5,2.5,7.0,6.25,-0.27466431,-0.81505877,-0.027076649,2.3333333
43114,48.0,3.25,3.25,5.0,4.5,0.4998382,-0.5900318,-0.83492976,2.3333333
72348,38.0,2.0,3.25,5.75,5.25,0.44959968,-0.42751598,0.117754,2.0833333
89607,30.0,4.0,4.0,4.0,4.0,-0.4451786,1.9478321,2.393703,2.9166667
59900,47.0,1.0,1.0,4.0,4.0,0.23902185,0.2630989,0.15914471,2.0
28254,39.0,2.5,2.75,5.5,4.75,0.50948405,0.64315283,0.14845444,2.0
56480,48.0,1.25,3.25,6.0,4.0,0.43214834,-0.61947995,-0.80867887,1.5833334
47886,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
28820,35.0,2.25,2.5,4.25,5.0,-0.72072524,0.25078756,0.31105933,2.9166667
35347,42.0,1.0,1.0,1.0,1.0,0.9958638,-0.72322839,0.49669752,1.9166666
45641,35.0,1.0,1.25,5.75,5.75,-1.7290889,0.29477444,-0.87266761,2.5833333
64572,41.0,2.0,2.75,6.0,5.0,0.5201388,-0.65353322,0.21105421,2.0
73452,37.0,2.5,5.0,6.25,6.25,-0.16380635,0.072257072,-0.96648192,2.3333333
51475,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
28312,37.0,3.0,3.75,5.25,4.25,-0.15865739,-0.061660979,1.9938617,2.6666667
13486,50.0,2.75,5.25,6.75,6.5,1.0100591,-0.70771694,-0.39373496,1.0
56805,45.0,3.5,4.75,7.0,7.0,-1.270131,0.090907671,0.089647815,1.75
29718,38.0,1.0,4.25,6.0,5.75,0.59836477,0.75508583,-1.0473378,2.5
26800,50.0,1.75,2.5,6.75,6.0,1.1065016,-0.64702183,-0.73655337,1.5833334
60493,32.0,1.0,1.5,2.25,2.0,0.93241417,0.82992184,1.8869727,2.75
30972,30.0,2.0,4.75,5.75,6.0,-0.049983863,0.0086528081,-0.11161241,2.1666667
47142,38.0,1.0,3.75,6.0,6.0,0.58879882,-0.33771667,1.5488018,2.6666667
69217,44.0,1.0,3.0,7.0,2.75,0.82164985,-0.87037259,0.27574313,2.3333333
84390,37.0,1.0,3.25,6.75,7.0,-0.42298511,-0.22371978,0.099782482,1.6666666
74845,50.0,1.0,3.0,6.75,7.0,1.1717459,-0.65373051,-0.71169752,2.0
39659,44.0,1.0,4.0,4.5,2.5,1.1089666,-0.44078177,-0.80756366,2.9166667
60396,39.0,1.25,3.0,5.5,4.75,0.74310488,-0.59855205,-0.83500814,2.0
61084,42.0,1.0,1.0,6.0,5.5,-1.3085122,-0.64948738,-0.54791021,1.6666666
92412,41.0,1.5,2.0,6.75,6.0,0.94369376,-0.78631765,-0.13118862,1.4166666
92038,50.0,2.0,3.75,7.0,6.75,0.95859206,-0.64639544,-0.7493996,1.5
33388,33.0,1.0,5.0,7.0,7.0,0.45542988,-0.54864305,2.7215805,4.25
31717,38.0,1.0,1.5,5.25,4.5,0.670515,-0.21708907,0.060167387,2.5833333
95585,50.0,5.0,5.0,5.0,5.0,-0.47133327,1.1934344,1.6221933,3.0
29792,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
14737,39.0,2.75,3.5,5.75,4.75,-0.26429182,0.63090831,-0.77949601,2.5833333
28223,50.0,1.0,1.25,4.0,3.25,-0.22927366,-0.605901,-0.77810234,2.0833333
55452,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
