egoid,SelfEsteem_6,Trust_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,selfreg_scale_6
49800,26.0,3.1666667,2.75,2.75,3.75,2.75,-1.2798067,-0.24810012,1.5878023,3.1666667
29296,31.0,3.5,2.0,7.0,7.0,7.0,1.1169612,-0.32134503,-0.88635558,2.6666667
11002,39.0,4.5,1.0,2.75,5.0,4.75,1.1957364,-0.083737433,-0.98208576,2.5833333
72850,34.0,3.1666667,1.75,2.5,6.0,4.5,1.0940555,-0.67108643,-0.19328783,2.0
15134,44.0,3.8333333,1.0,3.75,6.25,5.25,0.42425185,-0.25969672,-0.92243564,2.1666667
34062,48.0,3.8333333,3.25,3.0,7.0,6.75,0.87546444,-0.51558763,-0.8186295,1.0
18111,34.0,3.1666667,1.5,4.75,3.75,3.5,-1.336127,-0.1894152,0.068757467,2.5833333
42646,38.0,3.8333333,1.0,3.25,5.5,5.5,0.1247456,-0.076006979,0.28927621,1.75
72912,38.0,2.5,1.25,1.5,5.0,5.75,-1.6154855,-0.7408039,-0.064597771,1.6666666
21971,35.0,3.3333333,2.0,4.5,4.75,4.75,-1.0907848,0.1454733,0.23612961,2.1666667
84502,39.0,4.1666665,5.0,5.75,6.0,6.0,0.32695886,-0.54778469,-0.7598877,1.9166666
52123,33.0,3.5,1.0,1.25,5.0,5.0,1.1780468,-0.51153588,-0.82457685,2.9166667
25197,46.0,2.8333333,1.0,5.5,6.5,6.75,1.1659991,0.32215571,-0.49718699,1.8333334
35872,49.0,3.5,3.0,2.75,6.5,6.5,0.71003801,-0.55601037,-0.79268891,1.5833334
23270,40.0,3.3333333,3.25,5.5,7.0,6.0,0.21172282,0.18839952,0.14829656,1.75
69807,39.0,3.3333333,1.0,1.25,3.0,2.5,0.86722827,0.30646297,0.37914139,2.5833333
92716,47.0,3.3333333,1.0,4.75,7.0,7.0,-1.1247151,-0.59405196,-0.69105333,1.3333334
68679,32.0,3.1666667,1.0,1.0,5.75,3.75,0.69925117,0.26413068,-0.76602852,3.4166667
67192,46.0,2.1666667,1.0,4.0,7.0,6.25,-1.2538075,1.4167945,-0.78543937,1.1666666
12029,41.0,2.6666667,1.0,2.5,5.75,5.5,0.25495863,-0.44444218,0.29943663,3.0
70745,49.0,3.3333333,1.0,2.5,6.25,5.5,1.0336193,-0.59493178,-0.52670431,1.5833334
