egoid,SelfEsteem_1,Trust_1,SRQE_Ext_1,SRQE_Introj_1,SRQE_Ident_1,SRQE_Intrin_1,selsa_rom_1,selsa_fam_1,selsa_soc_1,SelfEff_exercise_scale_1,SelfEff_diet_scale_1,selfreg_scale_1
98766,49.0,3.3333333,1.5,2.5,5.5,6.5,-0.51231503,-0.71403486,-0.71775436,76.666664,90.689651,1.25
60997,28.0,2.8333333,1.75,2.5,4.0,2.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,22.333334,41.310345,3.6666667
36038,38.0,3.0,1.25,3.25,5.75,5.5,-1.7005197,-0.23390551,0.24672332,67.166664,48.482758,2.8333333
39146,33.0,3.1666667,2.25,4.75,5.5,3.75,0.45008248,0.81626284,0.73146272,26.722221,51.620689,3.0833333
60963,31.0,3.1666667,1.0,2.75,4.25,4.0,-1.7416764,-0.034504667,1.7885914,45.388889,46.586208,2.25
67918,40.0,3.0,1.5,1.5,4.75,4.25,0.67965788,-0.029218229,0.13010138,54.166668,64.655174,2.25
34467,39.0,3.5,2.5,5.0,6.25,6.25,0.96602756,-0.69949818,0.51314402,73.0,54.103447,2.4166667
42132,50.0,2.3333333,1.75,6.25,7.0,7.0,-1.3187215,0.0059006484,-0.10241158,89.444443,34.827587,1.3333334
41268,34.0,2.3333333,1.75,4.0,5.0,3.75,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,52.777779,48.206898,2.5833333
90692,46.0,4.5,1.0,1.0,4.75,5.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,41.944443,63.724136,2.0
32668,40.0,2.6666667,3.0,4.75,5.5,4.75,0.96048105,0.096567653,0.55922234,62.5,59.310345,2.0833333
24079,47.0,2.3333333,2.0,3.75,5.75,6.0,-0.44075549,-0.69397098,-0.74640745,63.888889,51.103447,2.75
59673,48.0,3.5,1.5,4.0,5.0,3.5,0.90907669,-0.63511628,-0.8190605,56.166668,76.517242,1.9166666
74899,35.0,4.1666665,3.75,7.0,7.0,7.0,0.34408468,0.14200471,-0.9331491,97.388885,73.241379,1.8333334
48891,43.0,3.5,1.5,1.75,5.75,4.5,0.66795433,-0.63815409,-0.80325168,80.444443,81.862068,2.25
81807,48.0,3.0,1.0,2.5,6.25,7.0,-1.7005188,-0.87738067,0.38307056,63.055557,58.172413,1.3333334
77187,28.0,3.1666667,1.0,3.0,6.75,5.0,-1.6990824,0.17765586,1.2319378,52.222221,40.413792,2.5833333
91176,29.0,3.0,1.25,1.0,2.25,1.75,0.71429962,2.0744152,-1.2575948,33.611111,80.344826,1.9166666
22292,40.0,3.1666667,1.0,1.0,5.0,5.75,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,89.833336,68.586205,2.4166667
35011,47.0,3.0,1.0,4.25,4.0,4.25,0.85458821,0.2127185,0.11171369,12.833333,5.965517,1.6666666
76785,36.0,3.3333333,2.0,5.25,6.0,5.75,0.85337728,1.315389,-0.16062565,69.333336,65.172417,2.4166667
60903,36.0,3.5,3.25,4.25,4.75,5.75,0.53002161,0.98662335,0.70511639,49.333332,32.758621,2.4166667
10115,43.0,2.8333333,1.8132867132867132,3.7482517482517483,5.642857142857143,5.211538461538462,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,92.0,76.482758,1.75
35416,32.0,2.6666667,2.75,4.0,5.0,5.25,0.54360539,-0.023977684,0.91325951,61.555557,40.793102,3.4166667
89710,33.0,3.6666667,1.0,4.5,5.25,2.75,-1.7077637,4.2334256,-1.5253189,53.055557,40.068966,1.75
