egoid,majorevent_7,Dieting_7,BAIsum_7,BAIgroup_7,yourelig_7,SelfEsteem_7,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7,exercisealone_7,exerciseothers_7,clubsports_7,swimming_7
76785,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
60903,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
10115,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
35416,no,No,20.0,low,Catholic,24.0,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,Not at all
89710,no,No,11.0,low,Catholic,32.0,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month,1-2 times a month
97596,no,No,27.0,moderate,Catholic,38.0,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all
39129,yes,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
57359,no,No,0.0,low,No Religion,33.0,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
17308,no,No,4.0,low,Catholic,39.0,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
51851,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
35855,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
67334,no,No,4.0,low,No Religion,19.0,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,Three times a week or more,1-2 times a month,Three times a week or more,Not at all,Not at all
60230,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
77838,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
37371,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
57292,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
66406,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
90447,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
56798,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
28827,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
23115,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
77872,no,No,1.0,low,Catholic,44.0,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
43114,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
72348,no,No,18.0,low,Catholic,35.0,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
15707,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
45776,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
63122,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
27169,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
89607,no,No,0.0,low,No Religion,39.0,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all
59900,no,No,37.0,severe,Other Religion,33.0,Not at all,Not at all,Three times a week or more,Not at all,Not at all,Three times a week or more,Not at all,Not at all,Not at all,Not at all
28254,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
56480,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
11128,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
47886,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
28820,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
35347,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
45641,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
25369,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
64572,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
31538,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
73452,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
51475,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
28312,no,No,0.0,low,Catholic,34.0,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Not at all
13486,no,No,0.0,low,Catholic,50.0,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,Three times a week or more,1-2 times a month,Not at all
56805,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
57697,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
54837,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
29718,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
26800,yes,No,7.0,low,Catholic,49.0,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Not at all
