egoid,usetobacco_8,usevape_8,usebeer_8,usewine_8,usedrugs_8,usedrugs_prescr_8,usecaffine_8
44344,,,,,,,
94215,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
80675,,,,,,,
57144,,,,,,,
94662,,,,,,,
98700,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
44675,,,,,,,
33341,,,,,,,
37396,,,,,,,
65072,,,,,,,
37148,,,,,,,
11910,,,,,,,
75438,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
99733,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
27407,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,1-2 times a week
14250,,,,,,,
43794,Not at all,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
73918,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all
60216,,,,,,,
28681,,,,,,,
51437,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
21932,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
29733,,,,,,,
98206,,,,,,,
36385,,,,,,,
26651,,,,,,,
54030,,,,,,,
67993,,,,,,,
96543,,,,,,,
49800,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
29296,,,,,,,
11002,,,,,,,
72850,,,,,,,
15134,,,,,,,
69124,,,,,,,
42531,,,,,,,
34062,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
18111,,,,,,,
42646,Not at all,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
63922,,,,,,,
59097,,,,,,,
72912,,,,,,,
91484,,,,,,,
24833,,,,,,,
21971,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
58654,,,,,,,
13928,,,,,,,
84502,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Three times a week or more,Less than 1-2 times a month
64090,,,,,,,
52123,,,,,,,
78783,,,,,,,
25197,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
35872,,,,,,,
93462,,,,,,,
23270,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
69807,,,,,,,
92716,,,,,,,
66061,,,,,,,
56058,,,,,,,
57854,,,,,,,
68679,,,,,,,
90750,,,,,,,
70125,,,,,,,
67192,,,,,,,
12029,,,,,,,
70745,Not at all,Not at all,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all
43255,,,,,,,
93856,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
10237,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
97448,Not at all,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
43603,,,,,,,
86974,,,,,,,
89165,,,,,,,
97280,,,,,,,
54098,,,,,,,
66156,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
67177,,,,,,,
22540,,,,,,,
70668,,,,,,,
15586,,,,,,,
27232,,,,,,,
18611,,,,,,,
87328,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
88963,,,,,,,
61756,,,,,,,
57045,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
49497,,,,,,,
15031,,,,,,,
79607,,,,,,,
41952,,,,,,,
17183,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
22408,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
54435,,,,,,,
38554,,,,,,,
38293,Not at all,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a week
33785,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
44310,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all
33009,,,,,,,
31294,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
65143,,,,,,,
91726,,,,,,,
59355,,,,,,,
96184,,,,,,,
92339,,,,,,,
70005,,,,,,,
64157,,,,,,,
68050,,,,,,,
46151,,,,,,,
79395,,,,,,,
59863,,,,,,,
63419,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
22913,,,,,,,
91313,,,,,,,
14511,,,,,,,
73962,,,,,,,
48969,Not at all,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,1-2 times a week
22093,,,,,,,
32919,,,,,,,
10153,,,,,,,
79731,,,,,,,
63611,,,,,,,
64296,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
23487,,,,,,,
