egoid,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5
10153,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
79731,,,,
63611,,,,
64296,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
23487,,,,
17569,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
77036,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
53518,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
92340,,,,
37485,,,,
33953,Three times a week or more,1-2 times a week,Not at all,Not at all
53333,,,,
82986,1-2 times a week,Three times a week or more,1-2 times a month,Not at all
61772,,,,
47280,,,,
70566,,,,
82964,,,,
11402,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
38610,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
96610,1-2 times a week,Not at all,1-2 times a month,Not at all
77711,Not at all,Three times a week or more,1-2 times a month,Not at all
48505,,,,
78667,,,,
17020,1-2 times a month,Three times a week or more,Three times a week or more,Not at all
48676,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
29885,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
32976,,,,
79167,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a month
65061,,,,
43710,1-2 times a month,Three times a week or more,Not at all,Three times a week or more
61389,,,,
22455,Three times a week or more,Not at all,Not at all,Not at all
82819,,,,
67771,,,,
57443,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
96469,Not at all,Three times a week or more,Not at all,Not at all
94579,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week
29257,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
23518,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all
80484,,,,
49539,Not at all,Not at all,Not at all,Not at all
63904,Not at all,Not at all,Not at all,Not at all
82490,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
20335,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
35031,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
88185,Three times a week or more,1-2 times a month,Not at all,Not at all
35344,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month
31175,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
41167,,,,
98325,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week
36963,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
50666,1-2 times a week,1-2 times a month,Not at all,Not at all
98624,,,,
42617,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all
58793,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
25125,,,,
25548,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
25966,Three times a week or more,1-2 times a week,Not at all,Not at all
