egoid,exercise_1,clubsports_1,varsitysports_1,swimming_1
21932,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
29733,Three times a week or more,Not at all,Three times a week or more,Not at all
98206,,,,
36385,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
26651,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
54030,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
67993,1-2 times a week,1-2 times a month,1-2 times a month,Less than 1-2 times a month
96543,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
49800,,,,
29296,,,,
11002,Three times a week or more,Three times a week or more,1-2 times a week,Less than 1-2 times a month
72850,,,,
15134,Three times a week or more,1-2 times a week,Not at all,1-2 times a month
69124,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month
42531,,,,
34062,Three times a week or more,Not at all,Three times a week or more,Three times a week or more
18111,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month
42646,,,,
63922,Three times a week or more,1-2 times a week,Three times a week or more,Three times a week or more
59097,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a month
72912,Three times a week or more,Not at all,Not at all,1-2 times a month
91484,1-2 times a month,Not at all,1-2 times a month,Less than 1-2 times a month
24833,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
21971,,,,
58654,,,,
13928,1-2 times a week,Not at all,1-2 times a week,Not at all
84502,Three times a week or more,1-2 times a week,Three times a week or more,Three times a week or more
64090,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
52123,,,,
78783,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
25197,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
35872,1-2 times a week,1-2 times a month,Not at all,Not at all
93462,,,,
23270,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
69807,,,,
92716,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
66061,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
56058,1-2 times a week,1-2 times a week,Not at all,1-2 times a week
57854,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
68679,1-2 times a month,1-2 times a month,Not at all,1-2 times a month
90750,Three times a week or more,Not at all,Not at all,1-2 times a month
70125,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
67192,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month
12029,,,,
70745,,,,
43255,,,,
93856,,,,
10237,Three times a week or more,Not at all,Three times a week or more,Less than 1-2 times a month
97448,Three times a week or more,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
43603,,,,
86974,,,,
89165,,,,
97280,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
54098,,,,
66156,,,,
67177,1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
22540,,,,
70668,,,,
15586,Three times a week or more,Not at all,Three times a week or more,Less than 1-2 times a month
27232,,,,
18611,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
87328,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
88963,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
61756,,,,
57045,,,,
49497,Three times a week or more,1-2 times a week,Not at all,Not at all
15031,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a week
79607,Three times a week or more,Not at all,Three times a week or more,1-2 times a week
41952,,,,
17183,,,,
22408,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
54435,,,,
38554,,,,
38293,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
33785,Three times a week or more,Less than 1-2 times a month,Three times a week or more,1-2 times a month
44310,,,,
33009,1-2 times a week,1-2 times a week,Three times a week or more,Less than 1-2 times a month
31294,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
65143,1-2 times a week,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month
91726,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
59355,Three times a week or more,Not at all,Three times a week or more,Not at all
96184,1-2 times a week,Not at all,Not at all,1-2 times a month
92339,,,,
70005,,,,
64157,,,,
68050,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
46151,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
79395,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
59863,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
63419,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
22913,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month
91313,,,,
14511,,,,
73962,,,,
48969,Three times a week or more,Not at all,Not at all,Three times a week or more
22093,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
32919,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
10153,,,,
79731,1-2 times a month,Not at all,Not at all,Not at all
63611,,,,
64296,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
23487,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
17569,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
77036,Three times a week or more,Less than 1-2 times a month,Three times a week or more,Not at all
53518,,,,
92340,,,,
37485,Three times a week or more,Not at all,Not at all,1-2 times a week
33953,,,,
53333,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
82986,Three times a week or more,1-2 times a month,Not at all,Less than 1-2 times a month
61772,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
47280,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
70566,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
82964,Three times a week or more,1-2 times a week,1-2 times a week,Three times a week or more
11402,Three times a week or more,Not at all,Not at all,Not at all
38610,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
96610,1-2 times a week,Not at all,Not at all,Not at all
77711,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
48505,,,,
78667,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
17020,1-2 times a week,Not at all,Not at all,1-2 times a month
48676,,,,
29885,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
32976,,,,
79167,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
65061,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
43710,,,,
61389,,,,
22455,Three times a week or more,Not at all,Not at all,Not at all
82819,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
67771,Three times a week or more,Three times a week or more,1-2 times a week,Less than 1-2 times a month
57443,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
96469,,,,
94579,Three times a week or more,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
29257,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
23518,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
80484,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
49539,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
63904,1-2 times a week,Not at all,Three times a week or more,Less than 1-2 times a month
82490,Three times a week or more,1-2 times a week,Not at all,Less than 1-2 times a month
20335,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
35031,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
88185,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
35344,Three times a week or more,Less than 1-2 times a month,Three times a week or more,1-2 times a month
31175,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
41167,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
98325,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
36963,1-2 times a week,1-2 times a month,Not at all,1-2 times a month
50666,,,,
98624,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
42617,,,,
58793,Three times a week or more,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month
25125,,,,
25548,1-2 times a week,1-2 times a month,Three times a week or more,1-2 times a week
25966,1-2 times a week,Not at all,Three times a week or more,1-2 times a week
95444,,,,
