egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
18222,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,has stayed about the same
39738,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,increased a bit
26858,Three times a week or more,1-2 times a month,1-2 times a week,Not at all,has stayed about the same
93504,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
64232,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a bit
37404,Three times a week or more,Not at all,Not at all,Not at all,increased a bit
25961,,,,,
87330,,,,,
92028,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
82248,,,,,
28824,,,,,
11482,Not at all,Less than 1-2 times a month,Not at all,Not at all,has stayed about the same
69936,,,,,
37001,,,,,
70492,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,increased a bit
95543,Not at all,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
21380,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,
67106,Not at all,Not at all,Not at all,Not at all,has stayed about the same
25495,,,,,
26581,,,,,
66642,,,,,
83612,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,increased a bit
63954,,,,,
20665,,,,,
19122,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,increased a bit
99978,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,has stayed about the same
92566,,,,,
39414,1-2 times a week,Not at all,Not at all,Not at all,increased a bit
35987,Not at all,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
66655,1-2 times a week,1-2 times a week,Not at all,Not at all,has stayed about the same
10547,,,,,
46373,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
79341,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
19591,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a good deal
83536,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,increased a good deal
66682,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,increased a bit
88337,,,,,
67608,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,increased a bit
19735,1-2 times a week,Not at all,Not at all,Not at all,has stayed about the same
42513,,,,,
51952,1-2 times a week,Not at all,Three times a week or more,1-2 times a week,has stayed about the same
46266,,,,,
61289,,,,,
18743,,,,,
59207,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,increased a bit
48946,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,increased a good deal
86083,1-2 times a month,Three times a week or more,Three times a week or more,Not at all,
96613,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
49014,,,,,
50766,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
