egoid,AcademicPeriod,CourseReferenceNumber,FinalGrade
36875,201520,21682,A-
36875,201510,17155,B-
36875,201820,24114,A
36875,201510,10138,A
36875,201510,16240,S
36875,201510,11375,B
36875,201810,14624,A
36875,201710,12248,B+
36875,201610,17173,A-
36875,201520,23217,A-
36875,201620,22514,A-
36875,201810,11258,P
36875,201710,11228,A
36875,201620,25434,A
36875,201610,12084,A-
36875,201720,26941,A
36875,201620,25237,B-
36875,201620,22519,A-
36875,201810,15589,A
36875,201820,30393,P
36875,201710,20135,A-
36875,201710,15885,B+
36875,201510,20450,A
36875,201820,29844,A
36875,201610,11028,A-
36875,201720,22724,A
36875,201610,12114,B
36875,201700,3217,S
84011,201510,11490,A
84011,201720,23371,S
84011,201810,13870,A
84011,201620,26327,A
84011,201520,23066,A
84011,201620,26564,A
84011,201710,14882,A
84011,201510,12369,A
84011,201510,10676,A
84011,201720,29752,A
84011,201720,21488,A
84011,201610,19929,A
84011,201620,23260,A
84011,201810,10782,A
84011,201720,22056,A
84011,201620,25316,A
84011,201610,11579,A
84011,201720,29757,A
84011,201710,12597,A
84011,201520,25198,A
84011,201820,31248,A
84011,201520,30318,A
84011,201820,26403,S
84011,201710,20015,A
84011,201710,11083,A
84011,201510,12893,B
84011,201610,13477,A
84011,201520,22794,A
84011,201510,20411,A
84011,201610,16528,S
84011,201720,25662,A
84011,201810,10740,A
84011,201620,23262,A
84011,201710,20014,A
84011,201520,22123,S
84011,201810,16503,A
84011,201520,21897,A
84011,201510,12087,A
84011,201510,12052,A
84011,201720,29738,A
84011,201610,10576,A
84011,201620,22793,A
84011,201520,21898,A
84011,201610,11577,A
84011,201520,24540,A
84011,201820,23482,A
84011,201820,23415,A
84011,201620,30396,S
84011,201820,25105,A
84011,201810,12365,A
84011,201810,14781,S
84011,201620,21334,A
84011,201610,13470,B+
84011,201610,11778,A-
84011,201820,20881,A
84011,201710,14581,A
83566,201720,31484,B
83566,201710,19736,B
83566,201620,21616,A
83566,201520,24352,S
83566,201610,10158,A
83566,201610,11859,A
83566,201620,27506,B+
