egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
51952,,,,
28837,,,,
46266,,,,
61289,,,,
18743,,,,
13647,,,,
59207,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
48946,,,,
86083,109.0,,"Bachelor's degree (B.A., B.S., etc.)",no
96613,,,,
49014,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
50766,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
71089,305.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no
80980,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
29115,,,,
98462,501.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
94455,,,,
11148,,,,
88384,,,,
60904,,,,
64302,303.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
51882,,,,
54200,,,,
22688,306.0,504.0,Ph.D or Ed.D.,no
38815,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
34525,302.0,,Ph.D or Ed.D.,no
68404,406.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
71836,,,,
12748,,,,
33445,,,,
83078,,,,
72160,,,,
55569,305.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
72885,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
47006,,,,
36574,116.0,,J.D. (Law),no
71193,109.0,,"Bachelor's degree (B.A., B.S., etc.)",no
44070,402.0,,"Bachelor's degree (B.A., B.S., etc.)",no
49010,403.0,106.0,"Bachelor's degree (B.A., B.S., etc.)",no
98760,,,,
95374,128.0,131.0,J.D. (Law),no
71985,402.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
43125,402.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
98117,503.0,,Ph.D or Ed.D.,yes
22989,109.0,131.0,"Bachelor's degree (B.A., B.S., etc.)",no
24883,502.0,115.0,"M.D., D.O., D.D.S., or D.V.M.",no
65068,,,,
20650,128.0,,J.D. (Law),no
19460,,,,
66815,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
89161,,,,
54956,131.0,,"Bachelor's degree (B.A., B.S., etc.)",no
14847,405.0,,"Bachelor's degree (B.A., B.S., etc.)",yes
85453,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
19827,,,,
31121,,,,
38683,,,,
82918,,,,
43382,,,,
44344,128.0,,J.D. (Law),no
94215,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
80675,,,,
57144,511.0,,"M.D., D.O., D.D.S., or D.V.M.",no
94662,501.0,,Ph.D or Ed.D.,no
98700,511.0,,Ph.D or Ed.D.,no
44675,,,,
33341,,,,
37396,,,,
65072,403.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
37148,,,,
11910,,,,
75438,,,,
99733,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
27407,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
14250,,,,
43794,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
73918,,,,
60216,,,,
28681,,,,
51437,503.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",no
21932,302.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
29733,109.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
98206,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
36385,116.0,506.0,"Bachelor's degree (B.A., B.S., etc.)",no
26651,,,,
54030,404.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
67993,131.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
96543,,,,
49800,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
29296,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
11002,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
72850,307.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",yes
15134,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
69124,,,,
42531,,,,
34062,507.0,,Ph.D or Ed.D.,no
