egoid,hs_1,hssex_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hrswork_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1
68404,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45100.0,13200.0,45100.0,43100.0,43700.0,Yes,
71836,Private religious/parochial school,Same sex- male,A-,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",304.0,303.0,None,16200.0,45100.0,44300.0,13200.0,41200.0,No,no
12748,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,510.0,None,21100.0,13200.0,49999.0,13200.0,45100.0,No,yes
33445,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,11300.0,45200.0,43800.0,61200.0,25200.0,No,
83078,Public magnet school,A mixture of boys and girls,A or A+,3-4,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",,,0-4,11300.0,43100.0,43600.0,45100.0,43500.0,No,yes
72160,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,514.0,16-20,13200.0,41200.0,45100.0,45100.0,41900.0,Yes,no
55569,Private independent college-prep school,A mixture of boys and girls,A-,3-4,3-4,,,,,43100.0,45100.0,45100.0,43900.0,45100.0,Yes,
72885,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,,None,43400.0,45100.0,43100.0,43500.0,,Yes,no
47006,Public school,A mixture of boys and girls,A or A+,1-2,1-2,"Bachelor's degree (B.A., B.S., etc.)",110.0,406.0,None,43900.0,21100.0,21100.0,21300.0,25200.0,Yes,no
36574,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,J.D. (Law),116.0,137.0,None,45200.0,45200.0,44200.0,43400.0,41100.0,Yes,yes
71193,Public school,A mixture of boys and girls,B+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",109.0,,5-10,45100.0,49999.0,11300.0,62100.0,63900.0,No,no
44070,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,1-2,,,,,45200.0,,,,,Yes,
49010,Private religious/parochial school,Same sex- male,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,106.0,None,13200.0,43100.0,45100.0,21200.0,,Yes,yes
98760,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",302.0,,5-10,21200.0,21100.0,45100.0,45100.0,43500.0,Yes,no
95374,Public school,A mixture of boys and girls,A or A+,3-4,3-4,J.D. (Law),131.0,109.0,None,25200.0,45100.0,46100.0,13200.0,45200.0,Yes,no
71985,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",404.0,135.0,0-4,17300.0,43600.0,25200.0,45200.0,42200.0,Yes,no
43125,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",109.0,400.0,None,21100.0,45100.0,45200.0,45100.0,21100.0,Yes,no
98117,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,510.0,139.0,None,45100.0,63900.0,45100.0,45100.0,44900.0,No,no
22989,Private independent college-prep school,Same sex- male,A or A+,3-4,3-4,,,,,11300.0,11300.0,43100.0,25200.0,42200.0,Yes,
24883,Public school,A mixture of boys and girls,b,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",302.0,510.0,11-15,16900.0,13200.0,45200.0,43500.0,45100.0,No,no
20650,Public school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,45200.0,21100.0,21200.0,13200.0,43100.0,No,
19460,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",300.0,400.0,None,13200.0,13200.0,45100.0,45100.0,44900.0,Yes,no
66815,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",129.0,135.0,None,13200.0,13200.0,43100.0,41100.0,43500.0,No,no
89161,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,109.0,None,13200.0,43200.0,49999.0,43100.0,,Yes,no
54956,Private independent college-prep school,Same sex- female,A-,5 or more,3-4,,,,,13200.0,16900.0,25200.0,21100.0,43500.0,Yes,
14847,Public magnet school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,,None,21300.0,43900.0,21300.0,,,No,no
85453,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11100.0,11300.0,43100.0,21100.0,43200.0,Yes,
19827,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,13200.0,16100.0,45100.0,No,
31121,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,11300.0,11300.0,11300.0,43100.0,,Yes,
38683,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",,,5-10,13200.0,16900.0,13200.0,45100.0,,Yes,no
82918,Private independent college-prep school,A mixture of boys and girls,A-,3-4,3-4,J.D. (Law),403.0,111.0,None,21300.0,25200.0,45900.0,43900.0,43400.0,Yes,yes
43382,Private religious/parochial school,Same sex- male,A-,5 or more,5 or more,Ph.D or Ed.D.,309.0,508.0,None,13200.0,45100.0,42100.0,49999.0,41900.0,No,no
44344,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,,,,,11300.0,45100.0,44900.0,41200.0,45100.0,Yes,
94215,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45200.0,45100.0,45100.0,11300.0,12900.0,Yes,
80675,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,506.0,305.0,5-10,12200.0,45100.0,12200.0,15100.0,15100.0,Yes,no
57144,Private independent college-prep school,A mixture of boys and girls,B+,5 or more,1-2,,,,,11300.0,43100.0,43400.0,43700.0,43500.0,No,
94662,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,44300.0,43100.0,45200.0,44200.0,12900.0,Yes,
98700,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",511.0,106.0,None,43100.0,12900.0,11300.0,49999.0,43500.0,No,no
44675,Public charter school,A mixture of boys and girls,A or A+,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",510.0,135.0,11-15,13200.0,45100.0,13200.0,16100.0,21100.0,No,no
33341,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,507.0,506.0,5-10,21200.0,43100.0,45100.0,44200.0,41200.0,No,no
37396,Private religious/parochial school,A mixture of boys and girls,A-,1-2,3-4,,,,,43100.0,42200.0,13200.0,13200.0,13200.0,Yes,
65072,Private independent college-prep school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,404.0,0-4,13200.0,13200.0,43900.0,41200.0,43100.0,Yes,no
37148,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",306.0,305.0,None,11300.0,45100.0,45100.0,45100.0,45100.0,Yes,no
11910,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",106.0,401.0,11-15,13200.0,44200.0,61900.0,43400.0,,No,no
75438,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",401.0,403.0,None,11300.0,11300.0,21300.0,45100.0,43100.0,Yes,no
99733,Public school,A mixture of boys and girls,A or A+,1-2,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",300.0,,5-10,11300.0,45100.0,45100.0,43100.0,42200.0,Yes,no
27407,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,310.0,0-4,45100.0,41100.0,11300.0,11300.0,12900.0,No,no
14250,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,,11-15,11300.0,45100.0,43600.0,43100.0,43500.0,Yes,no
43794,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",300.0,506.0,5-10,11300.0,43500.0,45100.0,45100.0,45100.0,Yes,yes
73918,Home school,Not applicable,A or A+,Not offered at my high school,Not offered at my high school,Ph.D or Ed.D.,506.0,123.0,0-4,45100.0,21100.0,45100.0,,,Yes,no
60216,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",,,11-15,13200.0,45200.0,42200.0,13200.0,43400.0,No,no
28681,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,17100.0,43100.0,45100.0,17100.0,43100.0,No,
51437,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",,,0-4,13200.0,45100.0,43500.0,,,Yes,yes
21932,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,309.0,None,13200.0,43100.0,25200.0,12100.0,15100.0,No,yes
29733,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,507.0,310.0,11-15,11300.0,41100.0,43100.0,42100.0,,Yes,no
98206,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11200.0,45100.0,45100.0,43100.0,12200.0,Yes,
36385,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",,,0-4,13200.0,13200.0,13200.0,13200.0,61100.0,Yes,no
26651,Private religious/parochial school,Same sex- male,A or A+,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,,0-4,13200.0,13200.0,43900.0,45100.0,45100.0,Yes,yes
54030,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",511.0,,None,43100.0,63900.0,43500.0,41900.0,45100.0,Yes,no
67993,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",131.0,,None,13200.0,21200.0,43400.0,21100.0,41200.0,Yes,no
96543,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",304.0,,None,21100.0,11300.0,13200.0,45100.0,41100.0,No,no
49800,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45100.0,45200.0,21100.0,21200.0,43900.0,No,
29296,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,45100.0,45100.0,45100.0,Yes,
11002,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,Ph.D or Ed.D.,503.0,403.0,None,11300.0,13200.0,46300.0,42900.0,12200.0,No,no
72850,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,41200.0,43500.0,11200.0,44300.0,,Yes,
15134,Public school,A mixture of boys and girls,A or A+,3-4,1-2,"Bachelor's degree (B.A., B.S., etc.)",309.0,,5-10,43600.0,11300.0,12900.0,43800.0,45200.0,No,no
69124,Public charter school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",,,None,13200.0,43100.0,45100.0,45100.0,,No,no
42531,Private religious/parochial school,Same sex- female,A-,3-4,3-4,,,,,21100.0,21100.0,21300.0,45100.0,46900.0,No,
34062,Private religious/parochial school,A mixture of boys and girls,b,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",507.0,510.0,None,16900.0,,,,,Yes,no
18111,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",401.0,135.0,None,43100.0,45100.0,45100.0,41300.0,12900.0,Yes,yes
42646,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,17100.0,63100.0,13200.0,41200.0,Yes,
63922,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,404.0,None,11300.0,11200.0,45100.0,43100.0,45200.0,Yes,yes
59097,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,109.0,None,13200.0,13200.0,43400.0,41200.0,53200.0,Yes,yes
72912,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,400.0,135.0,None,21300.0,17100.0,21100.0,43100.0,43900.0,Yes,no
91484,Private independent college-prep school,A mixture of boys and girls,A or A+,1-2,1-2,Ph.D or Ed.D.,510.0,,None,17100.0,43600.0,21100.0,45100.0,21300.0,No,no
24833,Private religious/parochial school,Same sex- female,A-,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",511.0,503.0,5-10,11300.0,12200.0,45100.0,45100.0,42200.0,Yes,no
21971,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,45100.0,13200.0,43100.0,44200.0,41200.0,Yes,
58654,Private independent college-prep school,Same sex- female,A or A+,5 or more,5 or more,,,,,21200.0,21100.0,45200.0,21100.0,21100.0,No,
13928,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",128.0,116.0,None,13200.0,43100.0,45200.0,44200.0,45100.0,Yes,no
84502,Private religious/parochial school,Same sex- female,A-,5 or more,5 or more,Ph.D or Ed.D.,128.0,109.0,None,13200.0,21300.0,42200.0,45100.0,45100.0,Yes,no
64090,Private independent college-prep school,A mixture of boys and girls,A-,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",106.0,400.0,None,13200.0,13200.0,,,,Yes,no
52123,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,13200.0,45100.0,42200.0,No,
78783,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,302.0,16-20,45100.0,11300.0,11300.0,43500.0,,Yes,no
25197,Private religious/parochial school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",301.0,508.0,None,11300.0,43100.0,45100.0,43700.0,45100.0,Yes,no
35872,Public charter school,A mixture of boys and girls,A or A+,3-4,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",510.0,,21 or more,21200.0,62900.0,45200.0,61200.0,,Yes,no
93462,Private religious/parochial school,A mixture of boys and girls,A-,Not offered at my high school,Not offered at my high school,,,,,45200.0,21100.0,21100.0,21200.0,21100.0,Yes,
23270,Private religious/parochial school,Same sex- female,A or A+,3-4,1-2,"M.D., D.O., D.D.S., or D.V.M.",503.0,507.0,5-10,12200.0,12200.0,43100.0,42200.0,12900.0,No,no
69807,Home school,Not applicable,A or A+,5 or more,3-4,,,,,45100.0,45200.0,12200.0,,,No,
92716,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",302.0,,None,13200.0,13200.0,45100.0,45100.0,45100.0,No,no
66061,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,Ph.D or Ed.D.,400.0,109.0,None,45200.0,11300.0,43100.0,21100.0,62900.0,Yes,no
56058,Public school,A mixture of boys and girls,A-,5 or more,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,,None,45100.0,45100.0,42200.0,43100.0,13200.0,No,no
57854,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,,None,45100.0,13200.0,13200.0,13200.0,43100.0,Yes,no
68679,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",511.0,,None,45100.0,45100.0,42200.0,,,No,no
90750,Private independent college-prep school,A mixture of boys and girls,A-,5 or more,5 or more,J.D. (Law),110.0,123.0,None,43100.0,21200.0,25200.0,43500.0,21100.0,Yes,no
70125,Private religious/parochial school,Same sex- female,A-,3-4,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",108.0,400.0,None,13200.0,13200.0,43400.0,25300.0,44900.0,Yes,no
67192,Public school,A mixture of boys and girls,A-,1-2,1-2,"M.D., D.O., D.D.S., or D.V.M.",503.0,112.0,0-4,43100.0,45100.0,45200.0,43100.0,11300.0,Yes,no
12029,Other- Please specify,A mixture of boys and girls,A-,Not offered at my high school,Not offered at my high school,,,,,,,,,,No,
70745,Private independent college-prep school,A mixture of boys and girls,B+,3-4,3-4,,,,,13200.0,13200.0,42200.0,42200.0,43400.0,Yes,
43255,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,11300.0,11300.0,11300.0,44200.0,49999.0,Yes,
93856,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,13200.0,13200.0,45100.0,No,
10237,Public school,A mixture of boys and girls,A-,5 or more,5 or more,,111.0,,None,13200.0,13200.0,42200.0,25100.0,43100.0,Yes,no
97448,Public school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,139.0,11-15,21100.0,45100.0,43100.0,45100.0,42200.0,No,no
43603,Public school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,13200.0,11300.0,,,,Yes,
86974,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,45100.0,45100.0,43100.0,Yes,
89165,Public school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,13200.0,13200.0,43200.0,53200.0,41100.0,Yes,
97280,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,J.D. (Law),128.0,109.0,16-20,13200.0,43100.0,45200.0,44900.0,14900.0,Yes,no
54098,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,,,,,45100.0,,,,,Yes,
66156,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21300.0,45100.0,43500.0,54200.0,21100.0,No,
67177,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",401.0,135.0,0-4,43900.0,21300.0,43500.0,45200.0,41100.0,Yes,no
22540,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,43100.0,11300.0,11200.0,42200.0,45100.0,Yes,
70668,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21300.0,45100.0,42300.0,49999.0,43900.0,No,
15586,Public school,A mixture of boys and girls,A-,Not offered at my high school,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,106.0,None,,,,,,Yes,yes
27232,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11100.0,11100.0,45100.0,43900.0,45100.0,Yes,
18611,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",509.0,310.0,5-10,13200.0,43700.0,43400.0,49999.0,21100.0,No,yes
87328,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,J.D. (Law),109.0,128.0,None,45200.0,,,,,Yes,no
88963,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",400.0,500.0,None,43100.0,11300.0,49999.0,49999.0,43100.0,Yes,no
61756,Private independent college-prep school,Same sex- male,B+,1-2,1-2,,,,,11300.0,11300.0,11100.0,43100.0,43800.0,No,
57045,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,16100.0,13200.0,44200.0,22100.0,Yes,
49497,Private religious/parochial school,A mixture of boys and girls,A-,3-4,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",109.0,406.0,None,21900.0,25200.0,43900.0,43500.0,22100.0,Yes,no
15031,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,305.0,,5-10,11300.0,21100.0,45100.0,43100.0,45100.0,No,yes
79607,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",302.0,123.0,None,13200.0,44900.0,13200.0,45100.0,21100.0,Yes,yes
41952,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,43100.0,13200.0,13200.0,13200.0,,Yes,
17183,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,13200.0,43100.0,21100.0,43100.0,45100.0,Yes,
22408,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,Ph.D or Ed.D.,129.0,510.0,None,13200.0,43800.0,63900.0,49999.0,43100.0,No,no
54435,Private independent college-prep school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,11300.0,43800.0,45100.0,,,Yes,
38554,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,43100.0,45100.0,45100.0,No,
38293,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,Ph.D or Ed.D.,302.0,503.0,0-4,11300.0,11300.0,11300.0,43100.0,17200.0,Yes,no
33785,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,304.0,305.0,None,45100.0,13200.0,13200.0,43900.0,42200.0,No,no
44310,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45100.0,13200.0,13200.0,41200.0,43800.0,Yes,
33009,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",403.0,130.0,0-4,45100.0,11200.0,41100.0,13200.0,42200.0,Yes,no
31294,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",510.0,131.0,None,11300.0,21900.0,45100.0,45100.0,45100.0,Yes,no
65143,Public magnet school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"M.D., D.O., D.D.S., or D.V.M.",503.0,,11-15,11200.0,45200.0,45100.0,62900.0,,No,no
91726,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",300.0,504.0,11-15,21100.0,21100.0,21100.0,12900.0,43500.0,Yes,no
59355,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",302.0,309.0,None,13200.0,13200.0,46300.0,41100.0,,No,no
96184,Public magnet school,A mixture of boys and girls,A-,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",200.0,100.0,None,43100.0,43200.0,61100.0,43100.0,42200.0,No,no
92339,Public school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,17100.0,13200.0,45100.0,42200.0,45100.0,Yes,
70005,Public school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,44900.0,43100.0,13200.0,13200.0,43300.0,Yes,
64157,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,11300.0,11300.0,43400.0,41200.0,42200.0,Yes,
68050,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,1-2,Ph.D or Ed.D.,503.0,308.0,11-15,13200.0,42200.0,45100.0,45100.0,22100.0,Yes,no
46151,Private religious/parochial school,Same sex- male,A or A+,Not offered at my high school,0,"M.D., D.O., D.D.S., or D.V.M.",510.0,110.0,None,13200.0,14400.0,49999.0,43600.0,43500.0,No,no
79395,Public school,A mixture of boys and girls,A or A+,3-4,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,403.0,None,11300.0,11300.0,43800.0,49999.0,13100.0,Yes,no
59863,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",403.0,300.0,0-4,13200.0,13200.0,13200.0,44900.0,45200.0,Yes,no
63419,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",507.0,135.0,11-15,11300.0,41100.0,43400.0,45100.0,45100.0,Yes,no
22913,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,303.0,None,16100.0,32100.0,43100.0,45100.0,13200.0,Yes,no
91313,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,,,,,13200.0,45100.0,43500.0,41400.0,,No,
14511,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,25200.0,11300.0,43400.0,11300.0,41200.0,Yes,
73962,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,3-4,,,,,21100.0,17100.0,45100.0,45100.0,21100.0,Yes,
48969,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,510.0,None,17100.0,43900.0,45100.0,45200.0,44900.0,Yes,no
22093,Private religious/parochial school,Same sex- male,A-,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",301.0,309.0,None,11300.0,49999.0,43100.0,43800.0,41200.0,Yes,yes
32919,Private religious/parochial school,Same sex- male,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",309.0,,5-10,43100.0,25200.0,17100.0,17100.0,46300.0,Yes,no
10153,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,16900.0,13200.0,,,Yes,
79731,Public school,A mixture of boys and girls,b,5 or more,1-2,"Bachelor's degree (B.A., B.S., etc.)",406.0,,None,45200.0,46100.0,45200.0,42300.0,11300.0,Yes,yes
63611,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,3-4,,,,,11300.0,21100.0,21100.0,25200.0,21200.0,Yes,
64296,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",506.0,137.0,0-4,11300.0,91300.0,45100.0,43100.0,,Yes,no
23487,Private religious/parochial school,Same sex- male,A or A+,3-4,3-4,"M.D., D.O., D.D.S., or D.V.M.",510.0,,None,13200.0,13200.0,13200.0,43100.0,42200.0,Yes,no
17569,Private religious/parochial school,Same sex- male,A or A+,Not offered at my high school,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,,None,12900.0,11300.0,45100.0,,,Yes,no
77036,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",309.0,400.0,0-4,11300.0,45100.0,43100.0,44200.0,,Yes,no
53518,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,21100.0,45100.0,63900.0,Yes,
92340,Private religious/parochial school,Same sex- female,A or A+,5 or more,5 or more,,,,,43100.0,11200.0,45100.0,45100.0,13200.0,Yes,
37485,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",503.0,,21 or more,13200.0,13200.0,45100.0,45100.0,17300.0,Yes,no
33953,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,13200.0,13200.0,43100.0,43900.0,44300.0,Yes,
53333,Private independent college-prep school,A mixture of boys and girls,A-,3-4,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",,,None,13200.0,17100.0,45100.0,,,Yes,no
82986,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",302.0,502.0,None,54900.0,43100.0,45100.0,43500.0,45100.0,Yes,no
