egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
25495,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Occasionally
83612,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Always
19122,1-2 times a month,1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,1-2 times a month,Occasionally,Frequently
99978,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
92566,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Frequently
39414,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
35987,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
46373,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more,Never,
79341,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Never
19591,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
83536,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
67608,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
19735,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a week,Occasionally,Always
59207,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Occasionally
86083,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
50766,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Frequently
71089,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
80980,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
98462,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Frequently
94455,,,,,,,,
64302,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Occasionally
22688,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
38815,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
34525,,,,,,,,
68404,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
55569,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Frequently
72885,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Occasionally,Never
36574,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a month,Frequently,Always
71193,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Occasionally
44070,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Occasionally
95374,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Frequently
71985,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
43125,Not at all,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,1-2 times a month,Occasionally,Never
98117,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
22989,1-2 times a month,Three times a week or more,1-2 times a month,Not at all,Not at all,1-2 times a month,Always,Frequently
24883,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
20650,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Not at all,Always,Frequently
66815,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Never,
54956,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
14847,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,1-2 times a week,Always,Frequently
85453,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Not at all,Never,
19827,,,,,,,,
82918,,,,,,,,
43382,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
44344,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month,Occasionally,Frequently
94215,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
57144,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Never
65072,1-2 times a month,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Frequently
11910,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month,Frequently,Always
75438,Not at all,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more,Occasionally,Always
99733,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
27407,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Never,
43794,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Frequently,Frequently
60216,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
51437,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Never
21932,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Never,
98206,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
36385,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
54030,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Occasionally
67993,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
96543,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
49800,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
29296,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
11002,,,,,,,,
72850,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
