egoid,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5
34062,Less than 1-2 times a month,Three times a week or more,Not at all,Three times a week or more
18111,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
42646,Three times a week or more,1-2 times a month,Not at all,Not at all
59097,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
72912,1-2 times a week,1-2 times a week,Less than 1-2 times a month,
24833,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all
21971,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
84502,1-2 times a month,Three times a week or more,Not at all,Not at all
52123,1-2 times a month,1-2 times a month,Not at all,Not at all
78783,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
25197,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
35872,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
23270,Three times a week or more,1-2 times a month,1-2 times a month,1-2 times a week
92716,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
68679,Not at all,1-2 times a month,1-2 times a month,Not at all
70125,Three times a week or more,1-2 times a month,Not at all,Not at all
67192,1-2 times a week,Not at all,Not at all,Not at all
12029,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
70745,Less than 1-2 times a month,Not at all,Not at all,Not at all
93856,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
10237,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all
97448,Three times a week or more,1-2 times a month,Not at all,Not at all
54098,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all
66156,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all
67177,1-2 times a week,Not at all,Not at all,Not at all
22540,,,,
18611,Not at all,Three times a week or more,Three times a week or more,Not at all
87328,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all
49497,Three times a week or more,Not at all,1-2 times a week,Not at all
17183,Less than 1-2 times a month,Not at all,Not at all,Not at all
22408,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
54435,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
38293,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
33785,Three times a week or more,1-2 times a week,Not at all,Not at all
44310,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all
33009,1-2 times a week,1-2 times a week,Less than 1-2 times a month,1-2 times a month
70005,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
64157,Three times a week or more,Three times a week or more,1-2 times a month,1-2 times a month
79395,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
59863,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
63419,1-2 times a month,Three times a week or more,1-2 times a week,Less than 1-2 times a month
22913,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
91313,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
14511,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
73962,1-2 times a week,Not at all,Not at all,Not at all
48969,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
10153,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
64296,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
17569,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
77036,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
53518,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
33953,Three times a week or more,1-2 times a week,Not at all,Not at all
82986,1-2 times a week,Three times a week or more,1-2 times a month,Not at all
11402,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
38610,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
96610,1-2 times a week,Not at all,1-2 times a month,Not at all
77711,Not at all,Three times a week or more,1-2 times a month,Not at all
17020,1-2 times a month,Three times a week or more,Three times a week or more,Not at all
48676,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
29885,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
79167,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a month
43710,1-2 times a month,Three times a week or more,Not at all,Three times a week or more
22455,Three times a week or more,Not at all,Not at all,Not at all
57443,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
96469,Not at all,Three times a week or more,Not at all,Not at all
94579,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week
29257,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
23518,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all
49539,Not at all,Not at all,Not at all,Not at all
63904,Not at all,Not at all,Not at all,Not at all
82490,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
20335,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
35031,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
88185,Three times a week or more,1-2 times a month,Not at all,Not at all
35344,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month
31175,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
41167,,,,
98325,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week
36963,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
50666,1-2 times a week,1-2 times a month,Not at all,Not at all
42617,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all
58793,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
25125,,,,
25548,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
25966,Three times a week or more,1-2 times a week,Not at all,Not at all
43581,1-2 times a week,1-2 times a month,Not at all,Not at all
91551,Three times a week or more,1-2 times a week,Not at all,Not at all
33657,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month
65656,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
36117,Not at all,1-2 times a month,Not at all,Not at all
82587,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
26320,1-2 times a week,1-2 times a week,Not at all,Not at all
77532,Three times a week or more,Not at all,Not at all,Not at all
92515,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
97844,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
49790,1-2 times a week,1-2 times a week,Not at all,Not at all
71592,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
15181,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
78657,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all
48154,1-2 times a week,1-2 times a month,Three times a week or more,Not at all
51495,Not at all,1-2 times a week,1-2 times a week,Not at all
21793,,,,
17932,1-2 times a week,Three times a week or more,1-2 times a week,1-2 times a month
95026,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a month
66800,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
80429,Not at all,Not at all,Not at all,Not at all
75149,,,,
67709,1-2 times a week,1-2 times a week,Not at all,Not at all
36552,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
14301,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
63138,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all
51298,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
74632,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
16654,1-2 times a week,Three times a week or more,1-2 times a week,Not at all
84768,1-2 times a month,1-2 times a month,Not at all,Not at all
29134,Not at all,Not at all,Not at all,Not at all
24029,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a week
49086,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
85503,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all
22119,Not at all,Three times a week or more,Not at all,Three times a week or more
25172,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
77134,1-2 times a week,1-2 times a week,Not at all,Not at all
95490,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
23253,Three times a week or more,1-2 times a week,Not at all,Not at all
90079,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month
47584,1-2 times a month,Not at all,Not at all,Not at all
97990,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all
91429,1-2 times a week,1-2 times a week,Not at all,Not at all
82269,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
22842,1-2 times a week,1-2 times a month,1-2 times a month,Less than 1-2 times a month
14279,Not at all,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month
43177,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
26857,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
28327,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all
52302,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
97050,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
46418,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
93002,1-2 times a week,1-2 times a week,Three times a week or more,Not at all
17470,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week
35180,1-2 times a month,1-2 times a month,Not at all,Not at all
89142,Not at all,Three times a week or more,1-2 times a week,Three times a week or more
24898,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
74413,Three times a week or more,Not at all,Not at all,Not at all
79352,1-2 times a month,1-2 times a month,Not at all,Not at all
50976,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
12156,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
76485,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
33239,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
72570,Not at all,Not at all,Not at all,Not at all
67574,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
10469,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
77789,Not at all,Not at all,Not at all,Not at all
47024,1-2 times a week,Three times a week or more,Not at all,Not at all
67015,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
88882,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
96828,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
19245,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
83748,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
49915,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month
51865,Not at all,Three times a week or more,Not at all,Not at all
93787,1-2 times a week,1-2 times a month,Not at all,Not at all
17270,1-2 times a week,Not at all,Not at all,Not at all
18707,1-2 times a week,1-2 times a week,Not at all,Not at all
26718,1-2 times a week,1-2 times a month,1-2 times a month,Less than 1-2 times a month
63347,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all
48826,,,,
35925,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
