egoid,sexorientation_1,sexcontacttype_1,sexattracttype_1
15586,Bisexual,Both men and women,Equally attracted to females and males?
27232,,,
18611,Heterosexual or straight,Men only,Only attracted to males?
87328,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
88963,Heterosexual or straight,Women only,Only attracted to females?
61756,,,
57045,,,
49497,Heterosexual or straight,Men only,Only attracted to males?
15031,Heterosexual or straight,Men only,Only attracted to males?
79607,Bisexual,Both men and women,Equally attracted to females and males?
41952,,,
17183,,,
22408,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
54435,,,
38554,,,
38293,Heterosexual or straight,Men only,Mostly attracted to males?
33785,Gay or lesbian,Men only,Only attracted to males?
44310,,,
33009,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
31294,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
65143,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
91726,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
59355,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
96184,Heterosexual or straight,Men only,Only attracted to males?
92339,,,
70005,,,
64157,,,
68050,Heterosexual or straight,Men only,Mostly attracted to males?
46151,Heterosexual or straight,Women only,Only attracted to females?
79395,Heterosexual or straight,Women only,Only attracted to females?
59863,Heterosexual or straight,Women only,Only attracted to females?
63419,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
22913,Heterosexual or straight,Women only,Only attracted to females?
91313,,,
14511,,,
73962,,,
48969,Heterosexual or straight,Men only,Only attracted to males?
22093,Heterosexual or straight,Women only,Mostly attracted to females?
32919,Heterosexual or straight,Women only,Only attracted to females?
10153,,,
79731,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
63611,,,
64296,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
23487,,,Mostly attracted to males?
17569,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
77036,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
53518,,,
92340,,,
37485,Heterosexual or straight,Men only,Only attracted to males?
33953,,,
53333,Heterosexual or straight,Women only,Only attracted to females?
82986,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
61772,Heterosexual or straight,Women only,Only attracted to females?
47280,Heterosexual or straight,Women only,Only attracted to females?
70566,Heterosexual or straight,Men only,Only attracted to males?
82964,Bisexual,I have not had sexual contact,Mostly attracted to males?
11402,Heterosexual or straight,Women only,Only attracted to females?
38610,Heterosexual or straight,Men only,Only attracted to males?
96610,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
77711,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
48505,,,
78667,Heterosexual or straight,Women only,Only attracted to females?
17020,Heterosexual or straight,Women only,Only attracted to females?
48676,,,
29885,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
32976,,,
79167,Heterosexual or straight,Men only,Only attracted to males?
65061,Heterosexual or straight,Men only,Mostly attracted to males?
43710,,,
61389,,,
22455,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
82819,Heterosexual or straight,Women only,Only attracted to females?
67771,Heterosexual or straight,Women only,Only attracted to females?
57443,Heterosexual or straight,,Only attracted to males?
96469,,,
94579,,,
29257,Heterosexual or straight,Women only,Only attracted to females?
23518,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
80484,Heterosexual or straight,Women only,Mostly attracted to females?
49539,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
63904,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
82490,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
20335,Heterosexual or straight,Women only,Only attracted to females?
35031,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
88185,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
35344,Heterosexual or straight,Men only,Only attracted to males?
31175,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
41167,Heterosexual or straight,Men only,Mostly attracted to males?
98325,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
36963,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
50666,,,
98624,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
42617,,,
58793,Heterosexual or straight,Men only,Mostly attracted to males?
25125,,,
25548,Other,Both men and women,Mostly attracted to males?
25966,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
95444,,,
96689,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
22587,Heterosexual or straight,Women only,Only attracted to females?
43581,,,
