egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
31717,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
18324,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
86440,1-2 times a month,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
95585,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Occasionally
29792,Not at all,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
14737,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Occasionally
28223,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Frequently
85708,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
55452,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Never,Frequently
20179,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
78339,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
23696,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
28653,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Occasionally
84715,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
95559,Not at all,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month,1-2 times a week,Always,Frequently
30152,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Never,Frequently
68764,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
60367,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Frequently,Frequently
36939,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
59592,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
22897,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
89652,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
28724,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
92895,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
69831,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
59178,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
50072,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month,1-2 times a week,Always,Frequently
44927,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,Frequently
71894,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Never
76790,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
78428,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
66676,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
95930,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
70962,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Always
12738,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
29647,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
27111,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
30453,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
58219,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
