egoid,major1rc_3,major2rc_3,degreeintent_3,majorevent_3
42773,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
72152,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
76663,511.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
48224,306.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
30137,403.0,128.0,J.D. (Law),yes
68318,502.0,134.0,Ph.D or Ed.D.,no
62246,309.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
69496,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
61028,302.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
55424,403.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
17581,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
23576,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
57842,404.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
17522,511.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
55685,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
74079,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
97833,403.0,134.0,"Bachelor's degree (B.A., B.S., etc.)",no
11992,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
93485,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
34402,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
62617,507.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
42137,303.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
37305,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
48013,128.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
44447,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
14571,503.0,514.0,Ph.D or Ed.D.,no
69057,309.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
49125,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
66629,108.0,130.0,"Bachelor's degree (B.A., B.S., etc.)",no
83542,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
18222,305.0,306.0,Ph.D or Ed.D.,no
39738,128.0,109.0,J.D. (Law),no
26858,510.0,103.0,"M.D., D.O., D.D.S., or D.V.M.",no
70552,111.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
38826,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
93504,400.0,106.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
64232,507.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",yes
37404,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
25961,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
87330,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
92028,511.0,130.0,Ph.D or Ed.D.,yes
82248,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
28824,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
11482,109.0,109.0,Ph.D or Ed.D.,no
69936,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
91320,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
37001,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
70492,511.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
95543,305.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
21380,302.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
67106,303.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
25495,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
26581,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
66642,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
83612,503.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
63954,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
20665,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
19122,301.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
99978,309.0,137.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
92566,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
39414,200.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
35987,305.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
66655,129.0,134.0,"M.D., D.O., D.D.S., or D.V.M.",no
10547,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
46373,128.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
79341,511.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
19591,403.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
83536,306.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
66682,305.0,109.0,Ph.D or Ed.D.,no
88337,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
67608,503.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
19735,200.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
42513,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
64595,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
85134,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
51952,511.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",yes
28837,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
46266,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
61289,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
18743,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
13647,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
59207,302.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
48946,508.0,506.0,Ph.D or Ed.D.,no
86083,130.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
96613,403.0,501.0,"Bachelor's degree (B.A., B.S., etc.)",no
49014,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
50766,305.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
71089,305.0,111.0,"Bachelor's degree (B.A., B.S., etc.)",no
80980,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
29115,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
98462,501.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
94455,305.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
