egoid,exercisealone_2,clubsports_2,exerciseothers_2,swimming_2,exercise_tracking_2,exercise_adjust_2,exercise_perceivedchange_2
83612,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,No,increased a bit
63954,1-2 times a week,1-2 times a month,1-2 times a month,1-2 times a month,Yes,No,increased a good deal
20665,Not at all,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
19122,Not at all,1-2 times a week,Not at all,Not at all,Yes,"Yes, sometimes",increased a bit
99978,1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a week,No,No,increased a bit
92566,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,has stayed about the same
39414,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,No,No,increased a bit
35987,Not at all,1-2 times a week,Not at all,Not at all,No,No,increased a good deal
66655,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,No,No,increased a good deal
10547,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
46373,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Yes,"Yes, sometimes",increased a good deal
79341,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,No,No,increased a good deal
19591,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,No,increased a good deal
83536,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Yes,"Yes, sometimes",has stayed about the same
66682,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Yes,No,increased a bit
