egoid,sexorientation_7,sexcontacttype_7,sexattracttype_7
36963,Heterosexual or straight,Men only,Only attracted to males
50666,Heterosexual or straight,I have not had sexual contact,Only attracted to males
98624,Heterosexual or straight,Men only,Only attracted to males
42617,Heterosexual or straight,Men only,Only attracted to males
58793,Heterosexual or straight,Men only,Only attracted to males
25125,Heterosexual or straight,Men only,Only attracted to males
25548,Bisexual,Both men and women,Mostly attracted to males
25966,Gay or lesbian,Both men and women,Mostly attracted to females
95444,Heterosexual or straight,Men only,Only attracted to males
96689,Heterosexual or straight,I have not had sexual contact,Only attracted to males
22587,Heterosexual or straight,Men only,Only attracted to males
43581,Heterosexual or straight,Men only,Only attracted to males
75578,Heterosexual or straight,Men only,Only attracted to males
43507,Heterosexual or straight,Men only,Only attracted to males
91551,Heterosexual or straight,Men only,Only attracted to males
